00:00:00 - 00:00:02  |    Fuck.
00:34:26 - 00:34:30  |    så vi faktisk kan have en forretning, som vi tjener penge på.
00:34:30 - 00:34:38  |    Og hvad gælder det, at samarbejde med nogen som Mila og Lykke?
00:34:38 - 00:34:42  |    Jeg har jo selvfølgelig et meget professionelt forhold til Mila og Lykke i og med,
00:34:42 - 00:34:45  |    at de er jo en virksomhed, som jeg har investeret i.
00:34:45 - 00:34:50  |    Men de er de skødneste demer, og jeg elsker at hænge ud med dem.
00:34:50 - 00:34:53  |    Og det er så sjovt, og jeg får så meget energi af at være sammen med dem.
00:34:53 - 00:34:57  |    Så det kan godt være, at det er sådan et professionelt forhold,
00:34:57 - 00:35:00  |    men vi er altså også gået hen og blevet en smule veninder,
00:35:00 - 00:35:03  |    og vi har det altså rigtig, rigtig sjovt, når vi er sammen.
00:35:03 - 00:35:07  |    Så det der med at arbejde med mennesker, der også har god energi,
00:35:07 - 00:35:09  |    det er simpelthen så vigtigt for mig.
00:35:09 - 00:35:12  |    Og det er også en af de ting, der er allervigtigst.
00:35:12 - 00:35:14  |    Jeg gider simpelthen ikke arbejde sammen med mennesker,
00:35:14 - 00:35:18  |    som tager min energi, eller som jeg ikke synes er fede.
00:35:18 - 00:35:23  |    Fint. Og hvad er, at der også er nogle konkrete boguspunkter,
00:35:23 - 00:35:25  |    du ligesom har noget at skudde ud med,
00:35:25 - 00:35:28  |    hvis du er på fredag, så du tænker op at tage det med?
00:35:28 - 00:35:31  |    Det er godt, at det ser ud sådan en, ja.
00:35:31 - 00:35:34  |    Gå lige sådan her. Så det er det, du mener.
00:35:34 - 00:35:36  |    Nej, det var bare med mig.
00:35:36 - 00:35:39  |    Fordi jeg gjorde det før med Lucia, kære. Så gør jeg det også lige med smykkerne.
00:35:39 - 00:35:41  |    Det var derfor.
00:35:43 - 00:35:45  |    Så har han rabattkoden.
00:35:45 - 00:35:47  |    Så hvis alle jer har lyst til at gå ind på det,
00:35:47 - 00:35:49  |    så kan I bare skru i alt.
00:35:49 - 00:35:52  |    En, to, tre.
00:35:52 - 00:35:55  |    Ja, præcis. M-A-L, you know.
00:35:55 - 00:35:57  |    Det er det hele mit trøje.
00:36:00 - 00:36:02  |    Nej, men vi snakker om det der med blandet,
00:36:02 - 00:36:06  |    at de skal bruge færdighed på markedsfærdigheden.
00:36:06 - 00:36:08  |    Og nu har vi egentlig også bare lige det her i master,
00:36:08 - 00:36:10  |    hvad er sådan boguspunkterne?
00:36:10 - 00:36:14  |    Og dem, når du ligesom går ind til noget med dem på fred.
00:36:14 - 00:36:17  |    Måske også bare, hvordan det går, eller hvordan det er gået?
00:36:17 - 00:36:19  |    Ja, skulle man starte med det, og så sige,
00:36:19 - 00:36:21  |    det vi har boguspunkt på, ja.
00:36:24 - 00:36:27  |    I det store hele, der er det gået rigtig fint med Mille
00:36:27 - 00:36:29  |    at lykke det sidste halve år.
00:36:29 - 00:36:33  |    Men sådan som markedet ser ud lige nu i hele Danmark,
00:36:33 - 00:36:35  |    der er det rigtig, rigtig presset,
00:36:35 - 00:36:37  |    og alle virksomheder har det hårdt.
00:36:37 - 00:36:42  |    Lige nu taler vi om, at nullvækst er rigtig, rigtig godt.
00:36:42 - 00:36:46  |    Vi begynder at samle i en budgetter tilbage med 2019.
00:36:46 - 00:36:52  |    Så alle onlinehandlere kan altså mærke den stavtion, der er nu.
00:36:52 - 00:36:55  |    Mille at lykke har haft et flot halvår,
00:36:55 - 00:36:57  |    og klarer det også godt.
00:36:57 - 00:36:59  |    Men der er nogle udfordringer omkring,
00:36:59 - 00:37:02  |    at vi kommer simpelthen til at bruge for mange penge på markedsføring.
00:37:02 - 00:37:05  |    Det, der hedder meta, Facebook og Instagram,
00:37:05 - 00:37:07  |    det fungerer ikke i øjeblikket, og det er ikke kun for dem,
00:37:07 - 00:37:09  |    det gør det faktisk for ret mange.
00:37:09 - 00:37:11  |    Så det er en af de store boguspunkter, vi skal have.
00:37:11 - 00:37:15  |    Hvordan kan vi ligesom optimere vores marketing?
00:37:15 - 00:37:18  |    Skal vi flytte pengene fra et sted til et andet?
00:37:18 - 00:37:23  |    Så skal vi selvfølgelig også igen kigge på det her med deres egne smykker.
00:37:23 - 00:37:26  |    Det er meget bedre for os at sælge deres egne smykker,
00:37:26 - 00:37:28  |    end det er at sælge de andre brands.
00:37:28 - 00:37:30  |    Vi kan selvfølgelig ikke bare udløbe de andre brands,
00:37:30 - 00:37:33  |    for folk går også ind på Mille og Lykke,
00:37:33 - 00:37:37  |    fordi man gerne vil købe nogle af de relativt kendte brands,
00:37:37 - 00:37:40  |    og så supplerer man ligesom op med Mille og Lykke smykker.
00:37:40 - 00:37:43  |    Men vi skal have fundet ud af, hvordan vi kan skubbe til den anden del endnu mere,
00:37:43 - 00:37:46  |    så der er endnu flere af vores egne smykker, som bliver solgt.
00:37:46 - 00:37:51  |    Så det er sådan de to store boguspunkter, vi har hos Mille og Lykke i øjeblikket.
00:37:51 - 00:37:53  |    Rigtig, rigtig godt.
00:37:53 - 00:38:02  |    Ved du hvad det er, så tænker jeg, det kunne være fedt, at du bare lige rammes af dit møde i dag med kompakter.
00:38:02 - 00:38:05  |    Altså, vi også bare lige har det.
00:38:05 - 00:38:09  |    Hvorfor i holder møder, og hvad din rolle er i det,
00:38:09 - 00:38:18  |    og også den der lille korte introduktion til, at det er et mærke, som du har indstændet.
00:38:18 - 00:38:24  |    I dag har jeg haft bestyrelsesmøde med Kong Valder,
00:38:24 - 00:38:28  |    og Kong Valder er jo en sjov case, som Lyst...
00:38:28 - 00:38:31  |    Så du skulle have givet dig at sige det igen, altså egentlig bare sige det i min tid.
00:38:31 - 00:38:33  |    I dag skal jeg have...
00:38:33 - 00:38:35  |    Jo, har jeg møde med...
00:38:35 - 00:38:37  |    Ja, har jeg møde med.
00:38:37 - 00:38:39  |    Super godt, tak.
00:38:39 - 00:38:43  |    I dag har jeg møde med Kong Valder, som jo er nogle i værksætter,
00:38:43 - 00:38:45  |    som vi investerede i Løvernes Hule,
00:38:45 - 00:38:49  |    og når jeg siger vi, så er det mig og den anden kvintlige løve, Louise Herping.
00:38:49 - 00:38:53  |    Kong Valder havde faktisk været der året før, så de har været to gange i Løvens Hule,
00:38:53 - 00:38:56  |    men det første år, der fik de ikke nogen investering.
00:38:56 - 00:39:02  |    Det, som Kong Valder kan, det er, at de sælger sådan nogle handsker til barnevogne,
00:39:02 - 00:39:07  |    som man putter ind, og så kan man ligesom varme sine hænder, når man går rundt med barnevognen.
00:39:07 - 00:39:12  |    Det der er udfordringen ved Kong Valder, det er, at det er kun nogle få måneder om året,
00:39:12 - 00:39:14  |    hvor man har lyst til at tage handsker på.
00:39:14 - 00:39:19  |    Så derfor så har vi ligesom været inde og kigge på, hvor mange flere produkter,
00:39:19 - 00:39:22  |    vi kan sætte ind under Kong Valder-brandet.
00:39:22 - 00:39:27  |    Så det er noget af de ting, som vi skal tale om i dag, når vi har bestyrelsesmøde.
00:39:27 - 00:39:31  |    Rigtig, rigtig godt.
00:39:31 - 00:39:35  |    Og hvis vi springer videre til Nordic Biennale-Founders...
00:39:35 - 00:39:38  |    Må jeg tænke på din rolle til sådan en møde?
00:39:38 - 00:39:40  |    Ja, det kan jeg godt.
00:39:40 - 00:39:44  |    Jeg var sådan lidt god.
00:39:44 - 00:39:47  |    Hos Kong Valder, der er jeg bestyrelsesformand.
00:39:47 - 00:39:51  |    Det vil sige, at det er min opgave ligesom at have styr på en dagsorden,
00:39:51 - 00:39:54  |    og også at have styr på familier omkring mødet.
00:39:54 - 00:39:56  |    Når man holder et bestyrelsesmøde, så er der nogle ting,
00:39:56 - 00:40:00  |    som man ligesom skal opfylde hjemme for nogen.
00:40:00 - 00:40:06  |    Så det er min opgave i dag at sørge for, at de punkter, som skal være på dagsordenen, de er på,
00:40:06 - 00:40:11  |    at Tine, som er direktør for virksomheden, har forberedt sig,
00:40:11 - 00:40:15  |    at dagsordenen er sendt ud inden, at der er referat for mødet,
00:40:15 - 00:40:20  |    og alle sådan nogle helt grundlæggende ting, som man skal have styr på til bestyrelsesmøde.
00:40:20 - 00:40:25  |    Rigtig, rigtig godt. Det er også fedt, at der er en slivrumskig.
00:40:25 - 00:40:30  |    Er der noget, som du kan sige, om du synes, det er fedt, eller er det mere sådan noget?
00:40:30 - 00:40:35  |    Ja, det kan jeg godt sige.
00:40:35 - 00:40:39  |    Jeg synes, det er sjovt at være bestyrelsesformand.
00:40:39 - 00:40:43  |    Det er jeg efterhånden i en del virksomheder. Jeg kan faktisk ikke helt huske, hvor mange.
00:40:43 - 00:40:47  |    Men jeg synes, det er sjovt, fordi vi udvikler virksomheden.
00:40:47 - 00:40:51  |    Jeg er ikke altid supergod til alt det, der hedder formalia,
00:40:51 - 00:40:57  |    og alt det, der hedder, at vi skal overholde loven, eller vi skal sende dagsordenen rundt til rettid,
00:40:57 - 00:41:04  |    tid og omhoved osv. Det er ikke det, der er min stærke side, så det øver jeg mig lidt på.
00:41:04 - 00:41:12  |    Jeg har faktisk lige taget en ny bestyrelsespost som formand ved noget, der hedder arsenalet,
00:41:12 - 00:41:19  |    som ikke er min egen virksomhed, og som ikke er en frivillig post, men som faktisk er en betalt bestyrelsespost.
00:41:19 - 00:41:24  |    Det gør jeg, at jeg synes selvfølgelig, at det er en fed virksomhed,
00:41:24 - 00:41:27  |    men det handler også om, at jeg egentlig gerne vil prøve at øve mig på
00:41:27 - 00:41:34  |    og være sådan en ægte professionel bestyrelsesformand, som gør alting helt rigtigt.
00:41:45 - 00:41:50  |    Det er vigtigt for mig at øve mig i at blive en god bestyrelsesformand,
00:41:50 - 00:41:56  |    fordi jeg er godt klar over, at min karriere også peger i den retning.
00:41:56 - 00:42:02  |    Jeg har nogle kompetencer, som man også vil kunne bruge i bestyrelser rundt omkring.
00:42:02 - 00:42:08  |    Jeg får faktisk rigtig mange tilbud i øjeblikket, om jeg har lyst til at være en del af folks bestyrelse,
00:42:08 - 00:42:13  |    og også betalte poster. Og det gør jeg selvfølgelig, fordi jeg har været på tv,
00:42:13 - 00:42:18  |    forhåbentlig fordi folk synes, jeg er dygtig, men jeg er også fra Jylland,
00:42:18 - 00:42:22  |    og jeg er kvinde, og jeg er under 40. Så i øjeblikket er jeg sådan en,
00:42:22 - 00:42:27  |    fordi man gerne vil have ind i sin bestyrelse, fordi der er mange, der arbejder med diversitet,
00:42:27 - 00:42:31  |    og der er mange, der gerne vil have unge kvinder ind.
00:42:31 - 00:42:36  |    Jeg siger nej til rigtig mange af dem, fordi jeg egentlig gerne vil bruge tiden på de virksomheder,
00:42:36 - 00:42:41  |    hvor jeg kan få lov til at performe, og hvor jeg ligesom også får en del af upside-en.
00:42:41 - 00:42:47  |    Men på et tidspunkt skal jeg også til at sige ja, og når det kommer tilbud fra nogle af de lidt større virksomheder,
00:42:47 - 00:42:52  |    så kommer jeg også til at sige ja til det.
00:42:52 - 00:42:58  |    Så hvis der er nogen, nej, jeg får faktisk ret, jeg har lige fået en fra en virksomhed,
00:42:58 - 00:43:01  |    om så er der for en miljard. Jeg gider bare ikke, fordi det er trækulvet.
00:43:01 - 00:43:06  |    Så det er ligesom også for, at du udvider, du vil gerne klæde dig bedre på,
00:43:06 - 00:43:07  |    til at kunne løse din lærer?
00:43:07 - 00:43:09  |    Ja, det kan jeg sige.
00:43:14 - 00:43:17  |    Det med at øve sig i at være en god bestyrelsesform,
00:43:17 - 00:43:20  |    handler jo også om, at jeg bliver bedre klædt på.
00:43:20 - 00:43:25  |    Lige nu er jeg med i mange bestyrelser, men det er relativt små virksomheder.
00:43:25 - 00:43:30  |    Og jeg tænker jo også, at i takt med, at de virksomheder, som jeg har en andel af,
00:43:30 - 00:43:34  |    de gerne skulle vokse og blive store virksomheder, så betyder det jo også,
00:43:34 - 00:43:36  |    at jeg gerne skulle kunne være en bestyrelsesformand,
00:43:36 - 00:43:39  |    som kan sidde som formand for en stor virksomhed.
00:43:39 - 00:43:44  |    Så derfor, så betyder det noget for mig at blive dygtig til det felt også.
00:43:44 - 00:43:46  |    Kan I have det mening, Debbie?
00:43:46 - 00:43:47  |    Ja.
00:43:47 - 00:43:50  |    Skal jeg sige noget andet? Nå, jeg kan godt høre, at jeg har trænet.
00:43:50 - 00:43:52  |    Jeg kan godt sige noget andet.
00:43:52 - 00:43:56  |    Ja, jeg vil bare sige til Jenny.
00:43:56 - 00:43:58  |    Ja, så siger jeg.
00:43:58 - 00:44:00  |    Jeg behøver sikkert at ansætte en portofølge-manager,
00:44:00 - 00:44:02  |    for du har allemående for virksomheden og siger, hvad jeg skal sige,
00:44:02 - 00:44:04  |    og så synes jeg, at du kan bare komme ned.
00:44:04 - 00:44:05  |    Jeg kan virkelig godt lide det.
00:44:05 - 00:44:07  |    Det er dejligt, eller det er bare at høre, hvorfor?
00:44:07 - 00:44:10  |    Man kan sige, at det bare løser det, som jeg gør det nu.
00:44:10 - 00:44:12  |    Men det er så meget, at man ser og prøver det så meget.
00:44:12 - 00:44:14  |    Ja, det er så fint. Det er godt, at du spørger.
00:44:14 - 00:44:17  |    Ja.
00:44:17 - 00:44:20  |    Hvis vi hopper videre til Nordic Filmer og Founders,
00:44:20 - 00:44:25  |    kan du ikke tale om starten på det?
00:44:25 - 00:44:30  |    Hvordan du hører om ideen og kommer ind i det?
00:44:30 - 00:44:32  |    Høre om ideen? Jo.
00:44:32 - 00:44:34  |    Emilia kommer over til dig, ikke?
00:44:34 - 00:44:35  |    Jo, jo.
00:44:35 - 00:44:36  |    Ja, men jeg snakker.
00:44:36 - 00:44:39  |    Ja, jeg har rettere sagt, præcis.
00:44:39 - 00:44:43  |    Ja, jeg snakker.
00:44:43 - 00:44:48  |    På et tidspunkt, der har jeg været ved Freeway i 3-4 år,
00:44:48 - 00:44:50  |    og jeg har arbejdet tæt sammen med Mia Wagner.
00:44:50 - 00:44:53  |    Hun var direktør, og jeg var på det tidspunkt driftsdirektør.
00:44:53 - 00:44:55  |    Så jeg var ligesom Mias højre hånd.
00:44:55 - 00:44:57  |    Og Mia og jeg havde nogle projekter kørende,
00:44:57 - 00:45:00  |    og jeg er over ved hende en weekend.
00:45:00 - 00:45:02  |    Hun bor på det tidspunkt herovre i København,
00:45:02 - 00:45:04  |    og jeg bor selvfølgelig i Viborg.
00:45:04 - 00:45:06  |    Og jeg kan mærke, at der er noget med hende.
00:45:06 - 00:45:09  |    Jeg kender Mia rigtig, rigtig godt.
00:45:09 - 00:45:11  |    Og jeg har hende sådan på ene hånd i 24 timer.
00:45:11 - 00:45:13  |    Jeg er blevet med at gå sådan og prikke til hende.
00:45:13 - 00:45:15  |    Mia, hvad er det? Hvad er det?
00:45:15 - 00:45:17  |    Og det sidste, så siger hun så til mig,
00:45:17 - 00:45:19  |    jeg har sagt op, og jeg vil lave noget andet.
00:45:19 - 00:45:21  |    Det skal handle om kvinder, og det skal handle om at gøre
00:45:21 - 00:45:23  |    en forskel for kvinder i Ælverksaderiet.
00:45:23 - 00:45:25  |    Og jeg var sådan, jep, jeg er med.
00:45:25 - 00:45:28  |    Og det var faktisk sådan, det foregik.
00:45:28 - 00:45:30  |    Det gik rigtig, rigtig hurtigt.
00:45:30 - 00:45:32  |    Så sidder vi bare en hel lørdag og præner,
00:45:32 - 00:45:36  |    hvad kan vi gøre, og hvordan skal vi gøre det osv.
00:45:36 - 00:45:38  |    Og jeg ringer hjem til min mand og siger,
00:45:38 - 00:45:40  |    Hvordan har jeg sagt op? Og han er sådan,
00:45:40 - 00:45:42  |    Hvad skal vi så leve af?
00:45:42 - 00:45:44  |    Det ved jeg ikke, det finder jeg ud af undervejs.
00:45:44 - 00:45:46  |    Det her bliver bare det sidste projekt,
00:45:46 - 00:45:48  |    som Mia og jeg skal lave.
00:45:48 - 00:45:52  |    Og så gør vi det, og så starter vi Nordic Female Founders.
00:45:52 - 00:45:56  |    Og det er jo ikke fordi, hverken Mia eller jeg,
00:45:56 - 00:45:58  |    det handler lige om, det er jo ikke fordi,
00:45:58 - 00:46:01  |    at jeg har super mange penge med hjemmefra,
00:46:01 - 00:46:03  |    for det havde jeg faktisk ikke overhovedet.
00:46:03 - 00:46:08  |    Men vi kom godt i gang, og vi startede Nordic Female Founders.
00:46:08 - 00:46:12  |    Og vi gjorde det egentlig ligesom, at virksomheder gør nu.
00:46:12 - 00:46:14  |    Altså vi fik simpelthen to investorer,
00:46:14 - 00:46:17  |    som troede på os til at investere ind i virksomheden.
00:46:17 - 00:46:20  |    Og fra de penge, der købte vi de første virksomheder.
00:46:20 - 00:46:23  |    Og så har vi siden bare været gode til at købe og sælge,
00:46:23 - 00:46:24  |    og købe og sælge.
00:46:24 - 00:46:26  |    Som så har gjort, at vi er vokset til nu,
00:46:26 - 00:46:30  |    og har ejet en del i de her 13 virksomheder.
00:46:30 - 00:46:32  |    Han er ikke rigtig ret godt.
00:46:32 - 00:46:38  |    Og kan du ikke opryse, hvad er det for et problem,
00:46:38 - 00:46:40  |    ligesom sådan noget Nordic Female Founders,
00:46:40 - 00:46:43  |    ligesom det virksomhed, der er ved den her landskab?
00:46:43 - 00:46:45  |    Ja, det kan jeg jo.
00:46:47 - 00:46:52  |    En af de problemstillinger, vi kunne se omkring det her med kvinder i værksætteriet,
00:46:52 - 00:46:58  |    det handler jo blandt andet om, at der kun er 26% af alle i værksætter, der er kvinder.
00:46:58 - 00:47:02  |    Mindre end 1% af alt det, man kalder venturekapital,
00:47:02 - 00:47:06  |    det vil sige alle de penge, der bliver investeret i startups hver år,
00:47:06 - 00:47:12  |    mindre end 1%, det går til virksomheder med kvindelige founders, altså kvindelige værksætter.
00:47:12 - 00:47:17  |    Cirka 7% går til blandedhold, og resten, det går til rene mandehold.
00:47:17 - 00:47:19  |    Det synes vi simpelthen ikke var færre,
00:47:19 - 00:47:23  |    og vi synes simpelthen, at der på en eller anden måde skulle gøre sådan noget.
00:47:23 - 00:47:26  |    Så derfor, så gjorde vi noget.
00:47:26 - 00:47:34  |    Jeg har det sådan, at jeg er efterhånden mega træt af diversitetserklæringer,
00:47:34 - 00:47:39  |    af politiske tiltag, som har gode hensigter, som aldrig bliver gennemført,
00:47:39 - 00:47:46  |    af folk, der stiller sig op og siger, at nu vil de gøre noget, men der sker ikke en skid.
00:47:46 - 00:47:49  |    Og de sidste par år er der faktisk ikke sket ret meget.
00:47:49 - 00:47:52  |    Der er kommet mere fokus på kvindelige værksætter,
00:47:52 - 00:47:55  |    men hvis du kigger på tallene, har de næsten ikke rykket sig.
00:47:55 - 00:48:01  |    En af tallene, der har rykket sig, det er, at man er gået fra 9%, der havde en kvindelig rolemodel,
00:48:01 - 00:48:04  |    som forbillede, til sådan noget af den 19%.
00:48:04 - 00:48:09  |    Men der er stadigvæk ikke flere kvindelige værksætter, som starter egenvirksomhed.
00:48:09 - 00:48:12  |    Der er stadigvæk ikke mere venturekapital, der går til kvinder.
00:48:12 - 00:48:16  |    Så der er virkelig et stort stykke arbejde,
00:48:16 - 00:48:21  |    og alt det arbejde, vi prøver at understøtte på alle mulige forskellige måder.
00:48:21 - 00:48:23  |    Skal jeg sige, hvem vi gør det?
00:48:23 - 00:48:25  |    Ja, det må du mig.
00:48:25 - 00:48:32  |    Det, som vi prøver at gøre, det er, at vi har ligesom tre forretningsmodeller i Nordic Female Founders.
00:48:32 - 00:48:35  |    Det ene er blandt andet alt det, vi kalder investeringerne.
00:48:35 - 00:48:40  |    Altså de her 14 virksomheder, vi har investeret ind i, som vi gerne vil have til at vækste.
00:48:40 - 00:48:42  |    Det er cirka 60-40% til kvinderne.
00:48:42 - 00:48:46  |    Det vil sige, at der er cirka 60% kvinder og 40% mænd.
00:48:46 - 00:48:51  |    Vi kan godt lide mænd, og vi vil også gerne investere ind i gode cases, hvor der er mænd i.
00:48:51 - 00:48:57  |    Jeg plejer at sige, at vi vil virkelig være dårlige forretningskvinder,
00:48:57 - 00:49:01  |    hvis vi ikke har investeret ind i nogle gode mænd og nogle gode cases, når vi så dem.
00:49:01 - 00:49:03  |    Så det gør vi også.
00:49:03 - 00:49:06  |    Men vi har altså 60% kvindelige værksættere.
00:49:06 - 00:49:12  |    Det tror jeg ikke, at der er ret mange andre business elves eller funde eller andet, der kan præle af.
00:49:12 - 00:49:18  |    Så det er sådan det ene ben, og det er egentlig der, hvor jeg primært har mit hovedområde og mit fokus.
00:49:18 - 00:49:20  |    Det er at udvikle de her forretninger.
00:49:20 - 00:49:25  |    Så har vi det her, noget vi kalder Investors Club.
00:49:25 - 00:49:28  |    Samtidig med, at vi kunne se, at der ikke var ret mange kvindelige værksættere,
00:49:28 - 00:49:31  |    så var der faktisk heller ikke ret mange kvindelige investorer.
00:49:31 - 00:49:36  |    Mindre end 10% af alle de, hvad man kalder business-enkel, altså sådan nogle personer,
00:49:36 - 00:49:40  |    der investerer ind i andre virksomheder.
00:49:40 - 00:49:42  |    Mindre end 10% af det i Danmark er kvinder.
00:49:42 - 00:49:45  |    Og der er faktisk rigtig mange kvinder, som har penge.
00:49:45 - 00:49:52  |    Som har lyst til at investere ind i andre kvinder og ind i andre virksomheder og hjælpe dem.
00:49:52 - 00:49:57  |    Så vi har lavet det, vi kalder Investors Club, og det er simpelthen en samling dygtige kvinder,
00:49:57 - 00:50:06  |    som kommer hos os mod så er fremtidigt prise.
00:50:06 - 00:50:08  |    og ind i andre virksomheder og hjælpe dem.
00:50:08 - 00:50:13  |    Så vi har lavet det, vi kalder Investors Club, og det er simpelthen en samling dygtige kvinder,
00:50:13 - 00:50:16  |    som kommer hos os og som gerne vil investere.
00:50:16 - 00:50:20  |    Det kan være nogen, som har lavet exit på deres virksomheder.
00:50:20 - 00:50:23  |    Vi har Liz Beck, hun havde noget, der hedder Beck Søndergaard, hun solgte.
00:50:23 - 00:50:26  |    Det kan også være nogen, som sidder på deres familiefonte,
00:50:26 - 00:50:29  |    og det kan også være nogen, som har plukket deres eksmænd,
00:50:29 - 00:50:32  |    men de har stadigvæk nogle penge, som de gerne vil bruge.
00:50:32 - 00:50:36  |    Så en samling af rigtig dygtige kvinder.
00:50:36 - 00:50:40  |    Det, vi hjælper med, det er blandt andet, at vi finder nogle gode iværksættere,
00:50:40 - 00:50:44  |    så laver vi sådan nogle pittsdage, og så kommer der iværksættere herind,
00:50:44 - 00:50:47  |    og så er det ligesom nærmest, man ser i løvernes hule, så sidder alle de her kvinder,
00:50:47 - 00:50:50  |    og så kan de investere i de her iværksættere.
00:50:50 - 00:50:54  |    Der er også en masse andet, vi laver, vi laver selvfølgelig erfaringsudvikling,
00:50:54 - 00:50:59  |    og hjælper hinanden med, hvordan vi skal lave due diligence, altså undersøge virksomhederne.
00:50:59 - 00:51:02  |    Alt sådan noget, det laver vi i Investors Club.
00:51:02 - 00:51:06  |    Og det tredje ben, det er det her female founders house, som vi sidder i nu.
00:51:06 - 00:51:12  |    Det er simpelthen et kæmpe stort sted, hvor man kan have en kontorplads,
00:51:12 - 00:51:17  |    men samtidig så kan man også få det, som man har brug for, som kvindelige iværksættere.
00:51:17 - 00:51:22  |    Man kan få netværk, der er masser af herinde, vi laver alle mulige netværksangemanger,
00:51:22 - 00:51:26  |    men man kan også få gratis rådgivning af vores partner.
00:51:26 - 00:51:32  |    Blandt andet så kan man få gratis rådgivning af Plæstner, Deloitte, Nykredit, Vækstfonden,
00:51:32 - 00:51:38  |    som alle sammen kommer og hjælper, og som alle sammen gerne er nogen, der vil være med til at få virksomheder til at skalere.
00:51:38 - 00:51:43  |    Så alt det, som Data sagde, og alt det, som vi selv synes, at vi manglede,
00:51:43 - 00:51:46  |    det har vi ligesom prøvet på at bruge på det inde i det her hus.
00:51:46 - 00:51:50  |    Så det er ligesom de tre forretningsben, altså hele vores investeringsportfølge,
00:51:50 - 00:51:55  |    alle de virksomheder, vi investerer i, vores Investors Club for damer, der gerne vil investere,
00:51:55 - 00:52:05  |    og så det her Female Founders House, som er ligesom det her konturfællesskab
00:52:05 - 00:52:10  |    med alt muligt oveni, som man ligesom har brug for som kvindelige værksætter.
00:52:10 - 00:52:15  |    Rigtig godt. Og nu snakker vi også om den her skævhed,
00:52:15 - 00:52:25  |    som er, at fællelige værksætter er lidt store. Hvilket beviser, at det går alligevel langsomt i at gøre noget,
00:52:25 - 00:52:29  |    men du ved, du siger, at der er mange af de der tomme klærne, man gør.
00:52:29 - 00:52:33  |    Det er til at være helt vildt, at der ikke er ligesom mange kvindelige værksætter,
00:52:33 - 00:52:37  |    som det er mandlige værksætter, eller at der ikke er ligesom mange kvinder,
00:52:37 - 00:52:42  |    der tror, de kan investere deres penge i startups, eller at der ikke er ligesom mange kvindelige ledere,
00:52:42 - 00:52:49  |    som der er mænd. Det er så ærgerligt, for jeg forstår ikke det der med, at drengene skal være bedre end pigerne.
00:52:49 - 00:52:55  |    Og det er ikke noget med, at vi skal slå drengene eller blive bedre end dem. Det er slet ikke det, det handler om.
00:52:55 - 00:53:02  |    Det handler om, at der er så mange dygtige kvinder, og der er så meget potentiale i dem.
00:53:02 - 00:53:08  |    Så hvis vi sørgede for, at der kom nogle flere kvindelige værksætter, flere kvindelige ledere,
00:53:08 - 00:53:13  |    og nogle flere kvindelige investorer, så ville vi rent faktisk løfte en stor samfundsmæssig opgave,
00:53:13 - 00:53:19  |    fordi vi ved, at det hele samfund vel simpelthen er godt, at vores økonomi vil vokse af det.
00:53:19 - 00:53:26  |    Så derfor skal vi altid at gøre det her. Personligt så har jeg det bare, jeg kan simpelthen ikke forstå.
00:53:26 - 00:53:32  |    Jeg kan ikke forstå, hvorfor vi som kvinder ikke kan være chefer, vi ikke kan være investorer,
00:53:32 - 00:53:37  |    vi ikke kan lave vores egen virksomhed. Vi lavede engang en undersøgelse.
00:53:37 - 00:53:43  |    Vi havde engang sådan en stor seminar, hvor vi havde 103 kvindelige værksætter inde,
00:53:43 - 00:53:48  |    og vi spurgte dem ligesom, hvad er den største barriere for, at I skal nøde mål med jeres egen virksomhed.
00:53:48 - 00:53:53  |    Og det var tid. Det kan man finde ud af, at man kan lave en masse strukturer. Det var økonomi.
00:53:53 - 00:53:58  |    Og så kan man også finde ud af, at man kan få adgang til noget kapital osv., og så var det egen perfektionisme.
00:53:58 - 00:54:04  |    Det der med, at kvinder ikke tror på sig selv, og ikke tror, at de er dygtige nok, det synes jeg bare, er mega ærgerligt.
00:54:04 - 00:54:09  |    Og jeg tror ikke, at kvinder skal være ligesom mænd. Det er slet ikke det, jeg siger.
00:54:09 - 00:54:12  |    For jeg tror, at man skal anerkende, at vi er forskellige.
00:54:12 - 00:54:17  |    Man skal anerkende styrken i, at f.eks. så er kvinder ikke lige så risikovillige som mænd.
00:54:17 - 00:54:22  |    Så jeg synes ikke, at vi skal have specielle hjælpemidler som kvinder. Jeg synes heller ikke, at vi skal tages ned til.
00:54:22 - 00:54:27  |    Men f.eks. på nogle af de pulger, der bliver givet fra det offentlige, som skal ud og leve hos i værksætterne.
00:54:27 - 00:54:30  |    Det her med at finde ud af, hvordan er det, vi kommunikerer til kvinder.
00:54:30 - 00:54:34  |    Vi ved, at kvindelige værksætter er igennem sådan et 38 år.
00:54:34 - 00:54:39  |    Det vigtigste, nu er det lige blevet 39, men det vigtigste for mig, når jeg skal lave virksomhed,
00:54:39 - 00:54:45  |    det er, at jeg ikke sætter mit hjem over styr, at jeg ved, at der er et hus, hvor min børn og min mand kan bo,
00:54:45 - 00:54:51  |    og at jeg har ligegyldigt hvad, så har jeg min bil og de ting, som jeg nu har brug for, at jeg kan give mine børn mad.
00:54:51 - 00:54:57  |    Så nogle af de her lån, som rent faktisk er nogle ret fine lån, som staten blandt andet er med til at give,
00:54:57 - 00:55:02  |    hvorfor er det, man ikke skriver på foresiden af dem, hæfter ikke personligt, hvis det sådan det er.
