00:00:00 - 00:00:02  |    Vi skal kigge igennem.
00:35:34 - 00:35:37  |    Så tænkte jeg, at jeg kunne komme her.
00:35:37 - 00:35:39  |    Men jeg havde lille håb om det i forhold til,
00:35:39 - 00:35:41  |    at det var lidt mere seriøs måske,
00:35:41 - 00:35:43  |    fordi de faktisk har valgt at tage det op igen.
00:35:44 - 00:35:47  |    Og hvad sker der så inde i landsretten?
00:35:48 - 00:35:52  |    Jeg kommer derhen, og min far er derinde,
00:35:52 - 00:35:54  |    og det er min mor og mor, hvis det er os.
00:35:54 - 00:35:56  |    Og mig og min mor, vi står ude foran,
00:35:56 - 00:35:58  |    og venter lidt på, at jeg skal derind.
00:35:59 - 00:36:02  |    Men jeg når aldrig rigtig at komme derind,
00:36:02 - 00:36:04  |    fordi de kommer ud og fortæller, at det er blevet droppet,
00:36:04 - 00:36:06  |    fordi hun ikke er dukket op.
00:36:06 - 00:36:08  |    Så de dropper helt ret sammen,
00:36:08 - 00:36:10  |    fordi hun ikke er dukket op.
00:36:10 - 00:36:13  |    Så jeg spiller sådan lidt hele dagen der.
00:36:14 - 00:36:16  |    Så mig, min mor og min mor,
00:36:16 - 00:36:18  |    og mit til magazine,
00:36:18 - 00:36:21  |    fordi der er ikke rigtig meget andet at lave.
00:36:21 - 00:36:23  |    Og nu havde jeg jo taget fri,
00:36:23 - 00:36:26  |    og jeg havde en billet senere hen på dagen, jeg skulle tilbage med.
00:36:27 - 00:36:29  |    En orangefri billet.
00:36:29 - 00:36:31  |    Så jeg ventede bare til, at den kørte.
00:36:32 - 00:36:35  |    Hvad for en følelse gav det, da hun ikke dukket op igen?
00:36:36 - 00:36:38  |    Jeg blev irriteret over, at hun ikke dukket op igen,
00:36:38 - 00:36:45  |    fordi alligevel endnu en dag, vi har spild på at dukke op,
00:36:45 - 00:36:50  |    og min mor og far har taget fri på at dukke op til noget,
00:36:50 - 00:36:53  |    som blev droppet igen.
00:36:53 - 00:36:57  |    Og det, synes jeg i hvert fald, var noget fucking lort.
00:36:57 - 00:37:01  |    Fordi det var åndsvagt, at vi så vælger at lave alle de der retssager,
00:37:01 - 00:37:04  |    fordi der går så lang tid mellem hver retssag.
00:37:04 - 00:37:07  |    Så man ved bare godt, at næste retssag først bliver med et år,
00:37:07 - 00:37:09  |    og det gider man bare.
00:37:10 - 00:37:12  |    Ja, men der går så heldigvis lidt mindre end et år.
00:37:12 - 00:37:15  |    Der går 6-7 måneder, og så skal den så i landsrenden igen.
00:37:15 - 00:37:18  |    Du er sikkert på flyen på Østerskoen stadigvæk der, ikke?
00:37:18 - 00:37:20  |    Prøv at fortæl, hvad der sker på den dag.
00:37:20 - 00:37:23  |    Jeg kan faktisk ikke så godt huske andet retssag i et land.
00:37:23 - 00:37:25  |    Er det sluttet over igen?
00:37:25 - 00:37:27  |    Det er det, jeg er lidt i tvivl om.
00:37:27 - 00:37:29  |    Jeg kan virkelig ikke huske det.
00:37:29 - 00:37:31  |    Okay.
00:37:31 - 00:37:33  |    Men det har du vel gjort?
00:37:33 - 00:37:35  |    Ja, jeg tænker, jeg har været der.
00:37:35 - 00:37:37  |    Jeg tror, din mor har set, at du var derovre.
00:37:37 - 00:37:39  |    Jeg tror også, jeg var derovre. Du tænker i hvert fald, at jeg var.
00:37:39 - 00:37:41  |    Okay. Så lad os prøve at leje, at du tager det over.
00:37:41 - 00:37:43  |    Og så skal jeg nok tjekke med dit mor, om du var der.
00:37:43 - 00:37:45  |    Hvis det ikke var der, så tager vi det ikke med.
00:37:45 - 00:37:49  |    Men hvad sker der så? Du skal i landtræden igen?
00:37:49 - 00:37:52  |    Ja, jeg skal i landtræden igen.
00:37:52 - 00:37:55  |    Hvor jeg tager den sammen med min mor og far.
00:37:55 - 00:37:58  |    Og vi kommer derind.
00:37:58 - 00:38:00  |    Men jeg husker det heller ikke.
00:38:00 - 00:38:02  |    Som om jeg er nødt at komme ind og være vidne til den faktisk.
00:38:02 - 00:38:04  |    Det husker jeg virkelig ikke.
00:38:04 - 00:38:06  |    Jeg husker bare, at jeg kommer.
00:38:06 - 00:38:09  |    I det, jeg kommer, blev det næst aflyst.
00:38:09 - 00:38:11  |    Det er jeg ret sikker på.
00:38:11 - 00:38:13  |    Så jeg er nede engang at finde.
00:38:13 - 00:38:15  |    Fordi jeg tror, jeg er nede at møde min advokat,
00:38:15 - 00:38:17  |    som fortalte mig, at den var droppet.
00:38:17 - 00:38:19  |    Og hvorfor er den droppet?
00:38:19 - 00:38:21  |    Fordi hun ikke var mødt op.
00:38:21 - 00:38:23  |    Det vil sige, at den blev droppet?
00:38:23 - 00:38:26  |    Den blev droppet igen, fordi hun valgte ikke at møde op.
00:38:26 - 00:38:29  |    Ligesom de andre gangene.
00:38:29 - 00:38:31  |    Hvad tænkte du så?
00:38:31 - 00:38:34  |    Jeg synes, jeg tror, at jeg tænkte meget af det samme som sidst.
00:38:34 - 00:38:37  |    Da jeg synes, det var fucking åndssvagt, at vi skulle møde op.
00:38:37 - 00:38:42  |    At vi skulle være der og bruge vores dag på at komme ind til noget,
00:38:42 - 00:38:45  |    som faktisk bare var totalt ligegyldigt, hvis man kan sige det sådan.
00:38:45 - 00:38:48  |    Fordi der skete jo ikke noget.
00:38:48 - 00:38:53  |    Vi dukker bare op, og i det, vi kommer op, så bliver den aflyst.
00:38:53 - 00:38:55  |    Jeg kan huske, at min far kørte til bærbeslidt arbejde,
00:38:55 - 00:38:57  |    fordi han kunne lige så godt møde ind.
00:38:57 - 00:39:00  |    Jeg tror ikke, min mor, hun gjorde det.
00:39:00 - 00:39:02  |    Jeg tror, min mor blev mærket.
00:39:02 - 00:39:16  |    Det var det, vi gjorde bagefter faktisk.
00:39:16 - 00:39:19  |    Så går der så mere tid.
00:39:19 - 00:39:22  |    Nu er vi så helt fremme til August i år,
00:39:22 - 00:39:25  |    hvor I så får at vide, at salens mand bliver drottet.
00:39:25 - 00:39:27  |    I bliver ikke indkendt til landsretten.
00:39:27 - 00:39:30  |    De lægger salen ned, og så er det dommen for byretten,
00:39:30 - 00:39:32  |    der gælder stedet.
00:39:32 - 00:39:35  |    Hvad tænker du, da du hører, at de dropper salen?
00:39:35 - 00:39:38  |    Er det lækkert en hel nede?
00:39:38 - 00:39:42  |    Jeg synes, det er noget bullshit.
00:39:42 - 00:39:47  |    Jeg føler til at sige, da de dropper salen.
00:39:47 - 00:39:49  |    Du må selv formulere det.
00:39:49 - 00:39:53  |    Da de dropper salen, synes jeg, det er noget bullshit,
00:39:53 - 00:39:57  |    at de bare vælger at kaste den væk i forhold til,
00:39:57 - 00:40:00  |    hvor meget tid de har brugt på den.
00:40:00 - 00:40:03  |    At de siger, nu har vi brugt et eller andet tid,
00:40:03 - 00:40:05  |    og det er sgu ikke lige blevet ordentligt,
00:40:05 - 00:40:07  |    så vi lige stopper, og der går for mange år.
00:40:07 - 00:40:09  |    Det giver det mega ansvagt,
00:40:09 - 00:40:11  |    fordi det er deres skyld, der er gået så mange år.
00:40:11 - 00:40:13  |    Det er jo også damens, det ved jeg godt.
00:40:13 - 00:40:15  |    Men jeg føler også lidt, det er deres skyld,
00:40:15 - 00:40:17  |    at der er gået så mange år,
00:40:17 - 00:40:19  |    fordi der er gået så lang tid fra hver retssag,
00:40:19 - 00:40:22  |    og at de ikke selv finder hende der,
00:40:22 - 00:40:24  |    og tager hende ind nogle dage før.
00:40:24 - 00:40:26  |    Bare lige en dag.
00:40:26 - 00:40:28  |    Og så tænker hun, at det hedder til dagen efter,
00:40:28 - 00:40:31  |    så hun faktisk kan komme, så vi kan blive færdige med det,
00:40:31 - 00:40:33  |    i stedet for, at de kører ud.
00:40:33 - 00:40:36  |    Åh, ej, ups, hun er her desværre ikke.
00:40:36 - 00:40:40  |    Det synes jeg, det er lidt dårligt gjort af dem,
00:40:40 - 00:40:43  |    men det er jo også politiet, der er nået over det, tror jeg.
00:40:43 - 00:40:46  |    Men jeg synes, det var fucking noget ansvagt,
00:40:46 - 00:40:48  |    at vi havde spillet så lang tid på det.
00:40:50 - 00:40:54  |    Og hvad synes du, det siger om hende, der kørte dig ned,
00:40:54 - 00:40:59  |    slipper hun for let i det med, at hun kan blive væk hele tiden,
00:40:59 - 00:41:03  |    eller hvad tænker du om det der hendes krigs for at blive væk,
00:41:03 - 00:41:05  |    er det for lav, eller?
00:41:05 - 00:41:07  |    Jeg synes, hende damen, der kørte mig ned,
00:41:07 - 00:41:10  |    slap alt for let i forhold til, at hun bare kunne blive væk.
00:41:10 - 00:41:13  |    At hun bare kunne smutte, og så bare være sådan,
00:41:13 - 00:41:15  |    næh, så behøver jeg ikke nå op til det.
00:41:15 - 00:41:18  |    Jeg føler, at det burde være sådan ret, at hun skulle komme.
00:41:18 - 00:41:20  |    Det er jo også lidt en ret,
00:41:20 - 00:41:22  |    men det der med, at der ikke sker noget, vil hun bare blive væk.
00:41:22 - 00:41:24  |    Det synes jeg er noget ansvagt noget.
00:41:24 - 00:41:26  |    100 procent.
00:41:34 - 00:41:36  |    Så lige lidt til ben igen.
00:41:36 - 00:41:38  |    Har du stadigvæk lidt ondt i ben?
00:41:40 - 00:41:44  |    Jeg mærker nogle gange til mit ben ofte,
00:41:44 - 00:41:46  |    når vi løber over længere tid eller hopper,
00:41:46 - 00:41:48  |    mens vi laver et eller andet.
00:41:48 - 00:41:50  |    Vi skal hoppe på ét ben, og det er så det ben.
00:41:50 - 00:41:55  |    Så når der kommer længerevarende pres på benet,
00:41:55 - 00:41:58  |    så er jeg godt på at mærke til det.
00:41:58 - 00:42:00  |    Men det er ikke fordi, jeg tænker,
00:42:00 - 00:42:02  |    ej, jeg er blevet så sæt ud nu,
00:42:02 - 00:42:04  |    hvor jeg sådan, jeg ved godt, det kan holde til det,
00:42:04 - 00:42:07  |    så jeg kan bare lige gøre det lidt langsammere, hvis det er,
00:42:07 - 00:42:09  |    og så går det nok.
00:42:09 - 00:42:12  |    Så jeg mærker til det nogle gange, det gør jeg.
00:42:12 - 00:42:17  |    Tænker du nogensinde på, hvorfor det kom, det ben der, stadigvæk?
00:42:17 - 00:42:20  |    Hvordan får du, hvad der skyldes din skade?
00:42:22 - 00:42:25  |    Lidt, ikke så meget, faktisk.
00:42:25 - 00:42:27  |    Prøv da lige en batteri.
00:42:27 - 00:42:30  |    Nå, det var den der, hvor jeg følte, det var den deroppe.
00:42:30 - 00:42:32  |    Jeg følte, det var sensoren.
00:42:32 - 00:42:34  |    Ja, det følte jeg, det var.
00:42:34 - 00:42:36  |    Nå, nå, nå.
00:42:36 - 00:42:38  |    Det er lige Aladdin.
00:42:38 - 00:42:43  |    Det er fordi, jeg er også runner.
00:42:43 - 00:42:45  |    Den skruede bare ned, eller hvad gjorde den?
00:42:45 - 00:42:47  |    Slukkede den en lille?
00:42:47 - 00:42:50  |    Ja, den slukkede lige før, og så tændte den sådan lidt igen.
00:42:50 - 00:42:52  |    Sådan, nu er det bedst på.
00:42:52 - 00:42:54  |    Lige juice.
00:42:56 - 00:42:58  |    Den ruller bare derud.
00:42:58 - 00:43:01  |    Nej, men tænker du nogensinde på stadigvæk,
00:43:01 - 00:43:03  |    hvis du får ondt i dit ben?
00:43:03 - 00:43:06  |    Det var faktisk, fordi jeg blev kørt ned.
00:43:06 - 00:43:10  |    Jeg tænker ikke så ofte over, at jeg får ondt i mit ben,
00:43:10 - 00:43:13  |    på grund af, at jeg blev kørt ned.
00:43:13 - 00:43:16  |    Der var også rigtig mange, der sagde til mig, da I kom.
00:43:16 - 00:43:18  |    Nej, jeg skal måske ikke sige.
00:43:18 - 00:43:20  |    Der var også rigtig mange, der sådan...
00:43:20 - 00:43:23  |    Da jeg skulle være med i den her tv-serien, så var der mange.
00:43:23 - 00:43:31  |    Der var også rigtig mange, der sagde i starten til mig,
00:43:31 - 00:43:35  |    da jeg skulle være med her, at det havde de da aldrig hørt.
00:43:35 - 00:43:40  |    Det havde de da aldrig fortalt, fordi det var bare en del af mig.
00:43:40 - 00:43:43  |    Så jeg tænkte ikke så meget over det mere.
00:43:43 - 00:43:45  |    Det ligger bare lidt som en del af mit liv,
00:43:45 - 00:43:49  |    og det er ikke noget, jeg føler, jeg behøver gå rundt og sige højt.
00:43:49 - 00:43:54  |    Det føler jeg ikke er specielt vigtigt for folk at vide på en eller anden måde.
00:43:54 - 00:43:56  |    Ikke fordi jeg kan løse det at fortælle folk om det,
00:43:56 - 00:44:01  |    men fordi jeg ikke tænker over, at det er noget, man også kan snakke om.
00:44:01 - 00:44:07  |    Hvordan har du det med, at du nok aldrig møder hende en kvinde?
00:44:07 - 00:44:14  |    Jeg har lidt mærkeligt med, at jeg nok aldrig møder hende en kvinde, der kørte mig ned.
00:44:14 - 00:44:22  |    Kan du sige, at du har lidt mærkeligt med, at du nok aldrig møder hende en kvinde, der kørte mig ned?
00:44:22 - 00:44:32  |    Jeg ved ikke, fordi hun er et menneske, og hun bor i hvert fald indenfor rækkevillige forhold til jer,
00:44:32 - 00:44:34  |    nemt kan møde hendes steder.
00:44:34 - 00:44:39  |    Jeg synes, det er lidt nøjere end det, at jeg faktisk kan møde hendes steder.
00:44:39 - 00:44:45  |    Hvis nu jeg bliver i tvivl, om det er hende, det føler jeg, at det kunne være lidt mærkeligt.
00:44:45 - 00:44:54  |    Jeg vil gerne møde hende, men det er nok bare for, hvis hun ser hende i vægleden, så får det lidt mærkeligt.
00:44:54 - 00:44:57  |    Så jeg ved ikke, hvad hende har med hende.
00:44:57 - 00:45:00  |    Vil du gerne prøve at blive lidt klogere på hendes sæden?
00:45:00 - 00:45:07  |    Ja, jeg vil gerne blive lidt klogere på hende, og lidt mere om, hvem hun er.
00:45:07 - 00:45:09  |    Jeg vil godt vide noget om hende.
00:45:09 - 00:45:13  |    Jeg vil godt have hendes ansigt, at hun har et barn og en hund.
00:45:13 - 00:45:17  |    Hvem er hun? Hvad laver hun?
00:45:17 - 00:45:20  |    Jeg er lidt nysgerrig på hende faktisk.
00:45:20 - 00:45:22  |    Men det er du nok aldrig for svar på det.
00:45:22 - 00:45:25  |    Det kan godt være, at du nok aldrig møder hende.
00:45:25 - 00:45:28  |    Hvordan vil det være for dig?
00:45:28 - 00:45:35  |    Det er jeg nok aldrig møder hende. Det er okay.
00:45:35 - 00:45:39  |    Det er ikke, fordi det er noget, jeg vil lægge og tænke på hver aften.
00:45:39 - 00:45:44  |    Jeg vil nok aldrig møde hende. Det går sgu nok.
00:45:44 - 00:45:48  |    Jeg tænker godt, at jeg vil kunne leve videre uden det.
00:45:48 - 00:45:50  |    Men du vil ikke have noget imod det?
00:45:50 - 00:45:54  |    Nej, jeg vil ikke have noget imod at møde hende.
00:45:54 - 00:46:05  |    Jeg ved også godt, at chancen er meget ekstremt lille.
00:46:05 - 00:46:10  |    I den der dom for byretten, der var jo en politibetjent, der havde mødt hende på et tidspunkt.
00:46:10 - 00:46:13  |    De havde fundet hende.
00:46:13 - 00:46:18  |    Og så siger det politibetjent, at kvinden i sin omgangskreds med venner og veninder,
00:46:18 - 00:46:21  |    havde fortalt, at hun var ked af, at hun kørte derned.
00:46:21 - 00:46:24  |    Det var hårdt for hende. Hvad skal vi sige? Hun var ked af, at det var sket.
00:46:24 - 00:46:26  |    Hørte du det?
00:46:26 - 00:46:28  |    Det hørte jeg ikke.
00:46:28 - 00:46:32  |    Hvad tænker du om, at hun har sagt det til sin omgangskreds?
00:46:32 - 00:46:40  |    Jeg føler, at det, at hun har sagt til sin omgangskreds, gør hende lidt mere menneskelig, synes jeg.
00:46:40 - 00:46:43  |    Alligevel har hun lidt et hjerte.
00:46:43 - 00:46:47  |    Jeg føler, at hun er lidt hjerteløs i det, at hun bare smutter.
00:46:47 - 00:46:53  |    Så jeg føler, at hun er lidt mere virkelig ved, at hun gør det.
00:46:53 - 00:46:57  |    Og lidt mere menneskelig ved, at hun siger noget til sin omgangskreds.
00:46:57 - 00:47:02  |    Men jeg føler ikke, at hun har vist det. Overfor mig i hvert fald.
00:47:02 - 00:47:04  |    Det var rigtigt. Vi kan lige prøve at tage den igen.
00:47:04 - 00:47:09  |    Du bare lige ikke lukte det med, at hun i sin omgangskreds siger, at hun var ked af det sket.
00:47:09 - 00:47:11  |    Det fik vi sagt.
00:47:11 - 00:47:14  |    Altså betyder det noget, at hun siger til sin omgangskreds, at hun er ked af det?
00:47:14 - 00:47:19  |    Det, at hun siger til sin omgangskreds, at hun er ked af det,
00:47:19 - 00:47:29  |    det gør hende lidt mere virkelig og lidt mere menneskelig i forhold til, at hun virkede ikke som en person,
00:47:29 - 00:47:35  |    der havde det største hjerte i forhold til, at hun bare smutter fra sådan noget.
00:47:35 - 00:47:42  |    Så det viser, at hun bliver lidt mere menneskelig.
00:47:42 - 00:47:49  |    Jeg kan ikke helt hjerteløse, men hun er ikke rigtig bevist overfor mig, at hun er det.
00:47:49 - 00:47:52  |    Det betyder sygt meget for mig.
00:47:52 - 00:47:57  |    Tror du på en eller anden måde, at du lægger ulykken helt bag dig?
00:47:57 - 00:48:00  |    Eller vil du altid huske den på en eller anden måde?
00:48:00 - 00:48:03  |    Jeg tror altid, at jeg vil huske ulykken.
00:48:03 - 00:48:07  |    Det tror jeg mere, at jeg vil huske, fordi det er en del af mit liv.
00:48:07 - 00:48:11  |    Det har det hele tiden skulle være på en eller anden måde.
00:48:11 - 00:48:15  |    Men jeg tror, jeg vil have ikke lyst til at lægge den bag mig 100 procent.
00:48:15 - 00:48:19  |    Det er en del af mit liv, ligesom jeg har gået på efterskole.
00:48:19 - 00:48:21  |    Det er lidt en del af mig.
00:48:21 - 00:48:25  |    Så jeg vil heller ikke bare slippe det.
00:48:25 - 00:48:30  |    Hvor heldig var du, hvis man kan sige, at I er blevet kørt ned?
00:48:30 - 00:48:33  |    Jeg føler, jeg var meget heldig.
00:48:33 - 00:48:37  |    Især i forhold til, at det er både en lav bil, men også,
00:48:37 - 00:48:41  |    at man har højstsynlig en meget høj fart.
00:48:41 - 00:48:46  |    Så i høj fart og i lav bil, så føler jeg, at jeg har været rigtig heldig.
00:48:46 - 00:48:48  |    Det gør jeg.
00:48:48 - 00:48:50  |    Tænker du over det en gang eller andet?
00:48:50 - 00:48:52  |    Ja lidt.
00:48:52 - 00:49:00  |    Det er mere, når folk nævner, at det var da sluppet.
00:49:00 - 00:49:03  |    Det er mere det, at tænke over det.
00:49:03 - 00:49:06  |    Det er nok meget heldigt.
00:49:06 - 00:49:08  |    Fedt.
00:49:08 - 00:49:11  |    Jeg tror, jeg er igennem min 42-årige første forslag.
00:49:11 - 00:49:14  |    Jeg vil ikke, at du brænder ind med, hvordan I skal dømme ned igen.
00:49:14 - 00:49:16  |    Jeg brænder ind med én ting.
00:49:16 - 00:49:22  |    Det var egentlig bare start for løbet, at du er fri fra skole,
00:49:22 - 00:49:25  |    og du skal hjem, og du går den der.
00:49:25 - 00:49:27  |    Nå, på dagen der.
00:49:27 - 00:49:29  |    Ja, fordi derude sov vi både omkring det med,
00:49:29 - 00:49:31  |    og så var du på vej hjem.
00:49:31 - 00:49:33  |    Eller du fortrød lidt og var på vej tilbage.
00:49:33 - 00:49:35  |    Ja, fordi så kunne du vente på din far, og så kom der nogle piger.
00:49:35 - 00:49:37  |    Den klump gav jeg måske godt at have.
00:49:37 - 00:49:39  |    Uden den klump.
00:49:39 - 00:49:41  |    Uden de detaljer.
00:49:41 - 00:49:45  |    Jeg synes bare, at hun siger, at hun kommer gående med pigerne.
00:49:45 - 00:49:48  |    Ja, og at du skal overveje.
00:49:48 - 00:49:50  |    Det er egentlig mere en god idé.
00:49:50 - 00:49:53  |    Og fordi jeg blev meget forvirret af den der dreng, du ser.
00:49:53 - 00:49:56  |    Når jeg har fået tag til højkøren, og du ser bare i livet,
00:49:56 - 00:49:58  |    så tror jeg fanden, at det er Porsche.
00:49:58 - 00:50:00  |    Ja, så tror man, at det er Porsche.
00:50:00 - 00:50:02  |    Ja, du sagde det nu.
00:50:02 - 00:50:05  |    Det er også en detalje, vi ikke kommer ind på.
00:50:05 - 00:50:07  |    Ja, det måske skal også bare skære ham ud.
00:50:07 - 00:50:09  |    Ja, det tror jeg.
00:50:09 - 00:50:13  |    Så lad os bare tage den så derfra, at du har mødt pigerne,
00:50:13 - 00:50:16  |    og I går ned mod den store vej.
00:50:16 - 00:50:19  |    Prøv at beskrive, hvem I er, og hvad I gør der.
00:50:19 - 00:50:24  |    Jeg er på vej tilbage mod skolen, hvor jeg så møder tre fra min klasse,
00:50:24 - 00:50:27  |    der er på vej ned, fordi de skal tage bussen.
00:50:27 - 00:50:31  |    Kan du starte der, hvor I så har mødtes, og så går I bare ned mod denne vej?
00:50:31 - 00:50:33  |    Hvem er I, og hvor går I hen der?
00:50:33 - 00:50:37  |    Øhm, vi går tre fra min klasse ned mod...
00:50:37 - 00:50:39  |    Er I fire?
00:50:39 - 00:50:41  |    Nej, vi er fire med mig. Nå jo, fire med mig.
00:50:41 - 00:50:42  |    Jeg er fire i alt, ikke?
00:50:42 - 00:50:43  |    Ja, måske jeg siger det.
00:50:43 - 00:50:44  |    Ja, du sagde bare i alt.
00:50:44 - 00:50:46  |    Hvor er tre med sin klasse, det er rigtigt nok. Så er de fire i alt.
00:50:46 - 00:50:47  |    Ja, det er fire i alt.
00:50:47 - 00:50:48  |    Nå.
00:50:48 - 00:50:49  |    Nå, vi er tre.
00:50:49 - 00:50:50  |    Okay.
00:50:50 - 00:50:51  |    Nå, sorry.
00:50:51 - 00:50:52  |    I er fire.
00:50:52 - 00:50:53  |    Jo.
00:50:53 - 00:50:54  |    Okay.
00:50:54 - 00:50:55  |    Hvem er I?
00:50:55 - 00:50:58  |    Jeg går så med tre andre fra min klasse.
00:50:58 - 00:51:00  |    Jeg forstår ikke, hvad jeg skal beklare med de andre.
00:51:00 - 00:51:02  |    Nede mod landevejen.
00:51:02 - 00:51:05  |    Nede mod den store vej, hvor jeg skal over, og de skal med bussen.
00:51:05 - 00:51:06  |    Det er sådan bare det.
00:51:06 - 00:51:07  |    Okay, er det bare det, jeg skal sige?
00:51:07 - 00:51:08  |    Ja.
00:51:08 - 00:51:09  |    Okay.
00:51:09 - 00:51:11  |    Hvem er I, og hvad skal I?
00:51:11 - 00:51:17  |    Øhm, jeg går sammen med tre piger fra min klasse ned mod krydset.
00:51:17 - 00:51:28  |    Og så de tre andre, de skal med bussen, og jeg skal videre hjem til min far.
00:51:28 - 00:51:32  |    Og så går I frem til vejen, og hvad sker der?
00:51:32 - 00:51:33  |    Skal jeg sige det der med?
00:51:33 - 00:51:34  |    Ja, det må man gerne bare forestille.
00:51:34 - 00:51:35  |    Okay.
00:51:35 - 00:51:36  |    Det er, at de skal jo ind til bussen, men du skal over vejen.
00:51:36 - 00:51:37  |    Ja.
00:51:37 - 00:51:38  |    Det er måske bare lige den.
00:51:38 - 00:51:39  |    Ja.
00:51:39 - 00:51:40  |    Altså hjem til din far.
00:51:40 - 00:51:41  |    Vi ved jo ikke, at det er over på den nede vej.
00:51:41 - 00:51:42  |    Nå, nej, det er selvfølgelig rigtigt.
00:51:42 - 00:51:43  |    Hvis du bare siger, at du skal over vejen.
00:51:43 - 00:51:44  |    Ja, sorry.
00:51:44 - 00:51:45  |    Hvad skal I så?
00:51:45 - 00:51:51  |    De tre andre piger skal med bussen, og jeg skal videre over vejen.
00:51:51 - 00:51:54  |    Jeg skal hjem til min farenemlige.
00:51:54 - 00:52:00  |    Så jeg kan bare huske, at jeg står ved krydset, inden jeg skal over vejen.
00:52:00 - 00:52:07  |    Og så ser jeg en i bilen ved siden af mig, som går op i klassen under mig på min skole.
00:52:07 - 00:52:10  |    Og så kan jeg ikke huske mere.
00:52:10 - 00:52:14  |    Det er nummer, du kan kigge dig ude på vejen, og så siger du hej til dem, eller hvad?
00:52:14 - 00:52:15  |    Prøv at skrive det.
00:52:15 - 00:52:16  |    Jeg siger hej til en ven.
00:52:16 - 00:52:17  |    Men gør du ikke forvel til en ven endnu?
00:52:17 - 00:52:19  |    Jo, men det er kun noget, jeg har fået fortalt.
00:52:19 - 00:52:20  |    Skal jeg sige det?
00:52:20 - 00:52:21  |    Nå, det kan du ikke huske.
00:52:21 - 00:52:22  |    Nej.
00:52:22 - 00:52:24  |    Jamen, så er det det.
00:52:24 - 00:52:30  |    Ja, for jeg troede også, du kunne huske, at du er sådan en titel, og der var ikke nogen bil, og så går du op.
00:52:30 - 00:52:31  |    Nej.
00:52:31 - 00:52:33  |    Det sidste er den der dreng.
00:52:33 - 00:52:34  |    Ja, det var det.
00:52:34 - 00:52:36  |    Men ham tager vi ikke med, tror jeg.
00:52:36 - 00:52:37  |    Nej.
00:52:37 - 00:52:38  |    Det bliver for mærkeligt.
00:52:38 - 00:52:39  |    Ja, for jeg tror ikke, vi...
00:52:39 - 00:52:40  |    Han forstår det ikke rigtigt.
00:52:40 - 00:52:41  |    Nej.
00:52:41 - 00:52:42  |    Nej, det er for kompliceret at se.
00:52:42 - 00:52:43  |    Ja.
00:52:43 - 00:52:44  |    Ja.
00:52:44 - 00:52:45  |    Men det er cool.
00:52:45 - 00:52:46  |    Det var godt, synes jeg.
00:52:46 - 00:52:47  |    Det var super godt, Line.
00:52:47 - 00:52:48  |    Har du prøvet det før?
00:52:48 - 00:52:49  |    Natur talent.
00:52:49 - 00:52:53  |    Ja, det der med, at du er rigtig god, når jeg siger, hård, prøv lige at omformulere, så gør du det bare.
00:52:53 - 00:52:55  |    Det er der mange, der er rigtig svært ved.
00:52:55 - 00:52:56  |    Du husker det, sætningen.
00:52:56 - 00:52:59  |    Du husker sætningen, og altså, det er rigtigt...
00:52:59 - 00:53:02  |    Man skulle tro, det havde lavet reality tv.
00:53:02 - 00:53:08  |    Det der med at fortælle i nutid, det der, hvor man siger, ja, jeg kommer gode på vejen, og så kommer der en bil, og sådan noget.
00:53:08 - 00:53:11  |    Det kan være ret svært, når det er noget, der skete for fire år siden.
00:53:11 - 00:53:12  |    Ja.
00:53:12 - 00:53:14  |    Men det var du rigtig god til.
00:53:14 - 00:53:17  |    Så, vi har det hele.
00:53:17 - 00:53:19  |    Skal vi leve en rejse op, så ned, der har du faktisk...
00:53:19 - 00:53:22  |    Nej, det har jeg faktisk ikke. Vi kan godt, jeg tror...
00:53:22 - 00:53:23  |    Lad os lave det.
00:53:23 - 00:53:24  |    Lad os lave det.
00:53:24 - 00:53:25  |    Det er meget lidt...
00:53:25 - 00:53:26  |    Det tænker I ikke vel, for vi har så meget andet godt.
00:53:26 - 00:53:27  |    Jamen, det er rigtigt.
00:53:27 - 00:53:28  |    Tror du ikke det?
00:53:28 - 00:53:29  |    Jo, men lad os bare lave det.
00:53:29 - 00:53:30  |    Men lad os bare lave det.
00:53:30 - 00:53:35  |    Det, vi har mere nær, hvis du kommer herover, så filmer jeg bare i det, så vi får sat dig ned igen.
00:53:35 - 00:53:37  |    Så hvis du går... Yes, der.
00:53:37 - 00:53:38  |    Så går du bare...
00:53:38 - 00:53:40  |    Der, der sætter dig og kigger på...
00:53:40 - 00:53:41  |    På mig.
00:53:41 - 00:53:42  |    Stubbe, der.
00:53:42 - 00:53:43  |    Bare nu?
00:53:43 - 00:53:44  |    Ja.
00:53:44 - 00:53:45  |    Så kører det bare.
00:53:45 - 00:53:47  |    Så kører det bare.
00:53:52 - 00:53:53  |    Vi har et godt forhold.
00:53:53 - 00:53:54  |    Perfekt.
00:53:55 - 00:53:56  |    Ja.
00:53:56 - 00:53:57  |    Så er det det.
00:53:57 - 00:54:19  |    Ja.
